,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
82,000813.SZ,000520.SZ,000818.SZ,000710.SZ,000661.SZ,000688.SZ,000034.SZ,000066.SZ,000025.SZ,000596.SZ,000063.SZ,000547.SZ,000858.SZ,000938.SZ,000021.SZ
83,000813.SZ,000520.SZ,000818.SZ,000034.SZ,000063.SZ,000688.SZ,000938.SZ,000710.SZ,000661.SZ,000066.SZ,000004.SZ,000977.SZ,000547.SZ,000021.SZ,000158.SZ
84,000813.SZ,000520.SZ,000688.SZ,000661.SZ,000034.SZ,000818.SZ,000710.SZ,000063.SZ,000021.SZ,000526.SZ,000547.SZ,000938.SZ,000977.SZ,000025.SZ,000066.SZ
85,000813.SZ,000520.SZ,000661.SZ,000710.SZ,000688.SZ,000818.SZ,000034.SZ,000021.SZ,000938.SZ,000547.SZ,000526.SZ,000063.SZ,000977.SZ,000858.SZ,000596.SZ
86,000813.SZ,000520.SZ,000710.SZ,000661.SZ,000688.SZ,000021.SZ,000818.SZ,000034.SZ,000526.SZ,000858.SZ,000547.SZ,000938.SZ,000596.SZ,000636.SZ,000066.SZ
87,000813.SZ,000520.SZ,000710.SZ,000688.SZ,000526.SZ,000818.SZ,000661.SZ,000034.SZ,000021.SZ,000636.SZ,000858.SZ,000938.SZ,000596.SZ,000063.SZ,000547.SZ
88,000813.SZ,000520.SZ,000710.SZ,000526.SZ,000688.SZ,000858.SZ,000636.SZ,000021.SZ,000661.SZ,000596.SZ,000818.SZ,000066.SZ,000733.SZ,000547.SZ,000034.SZ
89,000813.SZ,000520.SZ,000710.SZ,000596.SZ,000526.SZ,000858.SZ,000733.SZ,000688.SZ,000021.SZ,000547.SZ,000818.SZ,000661.SZ,000636.SZ,000066.SZ,000048.SZ
90,000813.SZ,000520.SZ,000710.SZ,000733.SZ,000858.SZ,000547.SZ,000596.SZ,000526.SZ,000034.SZ,000913.SZ,000818.SZ,000688.SZ,000021.SZ,000048.SZ,000066.SZ
91,000813.SZ,000520.SZ,000710.SZ,000858.SZ,000913.SZ,000733.SZ,000547.SZ,000526.SZ,000596.SZ,000034.SZ,000021.SZ,000818.SZ,000636.SZ,000661.SZ,000066.SZ
92,000813.SZ,000520.SZ,000858.SZ,000733.SZ,000547.SZ,000596.SZ,000710.SZ,000913.SZ,000636.SZ,000034.SZ,000526.SZ,000021.SZ,000818.SZ,000661.SZ,000923.SZ
93,000813.SZ,000520.SZ,000733.SZ,000858.SZ,000995.SZ,000547.SZ,000596.SZ,000636.SZ,000066.SZ,000913.SZ,000661.SZ,000923.SZ,000568.SZ,000526.SZ,000710.SZ
94,000813.SZ,000520.SZ,000733.SZ,000858.SZ,000547.SZ,000596.SZ,000568.SZ,000913.SZ,000661.SZ,000923.SZ,000636.SZ,000066.SZ,000818.SZ,000799.SZ,000021.SZ
95,000813.SZ,000520.SZ,000733.SZ,000858.SZ,000596.SZ,000913.SZ,000547.SZ,000568.SZ,000923.SZ,000710.SZ,000995.SZ,000636.SZ,000818.SZ,000066.SZ,000661.SZ
96,000813.SZ,000520.SZ,000733.SZ,000858.SZ,000596.SZ,000568.SZ,000661.SZ,000547.SZ,000913.SZ,000636.SZ,000923.SZ,000995.SZ,000818.SZ,000710.SZ,000021.SZ
97,000813.SZ,000520.SZ,000858.SZ,000733.SZ,000615.SZ,000596.SZ,000568.SZ,000661.SZ,000799.SZ,000818.SZ,000516.SZ,000923.SZ,000547.SZ,000995.SZ,000636.SZ
98,000813.SZ,000520.SZ,000615.SZ,000733.SZ,000858.SZ,000799.SZ,000596.SZ,000568.SZ,000818.SZ,000995.SZ,000516.SZ,000547.SZ,000923.SZ,000661.SZ,000710.SZ
99,000813.SZ,000520.SZ,000733.SZ,000858.SZ,000995.SZ,000799.SZ,000615.SZ,000818.SZ,000596.SZ,000516.SZ,000568.SZ,000547.SZ,000301.SZ,000636.SZ,000034.SZ
100,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000301.SZ,000636.SZ,000858.SZ,000995.SZ,000799.SZ,000547.SZ,000762.SZ,000596.SZ,000615.SZ,000626.SZ,000066.SZ
101,000813.SZ,000520.SZ,000733.SZ,000301.SZ,000762.SZ,000818.SZ,000995.SZ,000799.SZ,000596.SZ,000688.SZ,000829.SZ,000858.SZ,000547.SZ,000636.SZ,000830.SZ
102,000813.SZ,000520.SZ,000733.SZ,000301.SZ,000995.SZ,000799.SZ,000818.SZ,000596.SZ,000762.SZ,000858.SZ,000568.SZ,000688.SZ,000636.SZ,000615.SZ,000829.SZ
103,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000301.SZ,000995.SZ,000829.SZ,000799.SZ,000596.SZ,000858.SZ,000762.SZ,000568.SZ,000615.SZ,000688.SZ,000636.SZ
104,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000688.SZ,000596.SZ,000762.SZ,000799.SZ,000995.SZ,000829.SZ,000301.SZ,000858.SZ,000568.SZ,000636.SZ,000547.SZ
105,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000995.SZ,000688.SZ,000596.SZ,000799.SZ,000568.SZ,000408.SZ,000858.SZ,000762.SZ,000301.SZ,000829.SZ,000636.SZ
106,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000688.SZ,000596.SZ,000858.SZ,000568.SZ,000799.SZ,000408.SZ,000995.SZ,000762.SZ,000301.SZ,000547.SZ,000626.SZ
107,000813.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000762.SZ,000408.SZ,000568.SZ,000301.SZ,000858.SZ,000799.SZ,000995.SZ,000829.SZ,000547.SZ
108,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000688.SZ,000505.SZ,000596.SZ,000762.SZ,000568.SZ,000408.SZ,000799.SZ,000858.SZ,000301.SZ,000995.SZ,000829.SZ
109,000813.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000568.SZ,000799.SZ,000858.SZ,000995.SZ,000762.SZ,000408.SZ,000830.SZ,000736.SZ,000505.SZ
110,000813.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000756.SZ,000596.SZ,000568.SZ,000762.SZ,000799.SZ,000858.SZ,000505.SZ,000995.SZ,000408.SZ,000301.SZ
111,000813.SZ,000520.SZ,000733.SZ,000818.SZ,000688.SZ,000596.SZ,000762.SZ,000568.SZ,000799.SZ,000821.SZ,000756.SZ,000858.SZ,000957.SZ,000995.SZ,000408.SZ
112,000813.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000821.SZ,000762.SZ,000596.SZ,000301.SZ,000995.SZ,000568.SZ,000408.SZ,000858.SZ,000913.SZ,000957.SZ
113,000813.SZ,000520.SZ,000670.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000913.SZ,000762.SZ,000821.SZ,000568.SZ,000301.SZ,000995.SZ,000408.SZ,000799.SZ
114,000813.SZ,000520.SZ,000670.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000568.SZ,000821.SZ,000762.SZ,000913.SZ,000301.SZ,000995.SZ,000858.SZ,000408.SZ
115,000813.SZ,000670.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000821.SZ,000034.SZ,000596.SZ,000948.SZ,000762.SZ,000995.SZ,000913.SZ,000408.SZ,000568.SZ
116,000813.SZ,000520.SZ,000670.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000821.SZ,000762.SZ,000948.SZ,000995.SZ,000034.SZ,000756.SZ,000408.SZ,000913.SZ
117,000813.SZ,000520.SZ,000670.SZ,000733.SZ,000688.SZ,000596.SZ,000818.SZ,000756.SZ,000568.SZ,000821.SZ,000995.SZ,000034.SZ,000858.SZ,000948.SZ,000762.SZ
118,000813.SZ,000670.SZ,000520.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000821.SZ,000756.SZ,000913.SZ,000568.SZ,000948.SZ,000858.SZ,000034.SZ,000995.SZ
119,000813.SZ,000520.SZ,000670.SZ,000733.SZ,000688.SZ,000818.SZ,000596.SZ,000821.SZ,000756.SZ,000568.SZ,000034.SZ,000913.SZ,000995.SZ,000858.SZ,000948.SZ
