,Naive,GMV,HRP,RP,SZCZ
2013-03-01,0.0015124215437742736,0.00263554995143758,0.00263554995143758,0.002156180089861865,0.0009031953799825132
2013-03-04,-0.05499077956954705,-0.05798044749071436,-0.05798044749071436,-0.056715972971686235,-0.052889637828809066
2013-03-05,0.017525905985167522,0.01635433632686902,0.01635433632686902,0.01686123369675997,0.022057657807089237
2013-03-06,-0.005109978385871546,-0.004840349944297863,-0.004840349944297863,-0.004949718459990314,0.00961450710697398
2013-03-07,0.0020933979391481667,0.0014871253871541663,0.0014871253871541663,0.0017375651743042784,-0.003973273715389469
2013-03-08,-0.008278427662945379,-0.007977064211600044,-0.007977064211600044,-0.008123031228635731,-0.01148210899475477
2013-03-11,-0.0008253824547279534,-0.0004272689664624905,-0.0004272689664624905,-0.0006266942904214985,-0.0009341972874162829
2013-03-12,-0.014170636092973567,-0.012918757876166845,-0.012918757876166845,-0.013463823168194423,-0.012236031503699119
2013-03-13,-0.010430003579125519,-0.01115806184204391,-0.01115806184204391,-0.0108200066288951,-0.009867462530675275
2013-03-14,-0.0017414729827285398,-0.0009963973294726007,-0.0009963973294726007,-0.0012973477433243213,0.00154655116016289
2013-03-15,-0.002698090698509494,-0.0038604157886068502,-0.0038604157886068502,-0.0033624227223287783,0.0013242946061289285
2013-03-18,-0.00492649773893838,-0.00335965225823895,-0.00335965225823895,-0.0040051941894043395,-0.011019489647711045
2013-03-19,0.012471961004837972,0.014008840574467185,0.014008840574467185,0.013334526690420607,0.0038915914554940034
2013-03-20,0.027083646825052186,0.027470723676588316,0.027470723676588316,0.02731282461632991,0.03142909038650177
2013-03-21,-0.0008537915742369599,-0.0005291786390084537,-0.0005291786390084537,-0.0006649822108247397,0.0008933491166001062
2013-03-22,0.00632246115187424,0.0034037849035605805,0.0034037849035605805,0.0046079295428895824,0.0018354772199489222
2013-03-25,0.007384946075392387,0.006224778863887943,0.006224778863887943,0.006758244404885654,-0.0032412356081350513
2013-03-26,-0.008465369665032108,-0.007998457800779365,-0.007998457800779365,-0.008213844242213377,-0.009287126830932801
2013-03-27,0.001024349979643193,0.002481263684954124,0.002481263684954124,0.0018482572808654054,-0.0001636241040708919
2013-03-28,-0.021979071457389414,-0.022670759097374715,-0.022670759097374715,-0.02238449649468996,-0.028819584686431532
2013-03-29,-0.0012287213680343468,-0.0018811483638696705,-0.0018811483638696705,-0.0015989332145672462,-0.007756565476818245
2013-04-01,-0.00017421172169588596,-8.703227089579117e-05,-8.703227089579117e-05,-0.00012799353323355547,0.005397924530904152
2013-04-02,-0.02236013540089311,-0.023138079704379033,-0.023138079704379033,-0.02277548850163294,0.0025400226627383393
2013-04-03,0.006712624518344354,0.0059258972847439206,0.0059258972847439206,0.006313530491515787,0.00044749949695654934
2013-04-08,0.00021930361537940066,0.0005953653686978785,0.0005953653686978785,0.0004056682982781852,-0.0011858931754870072
2013-04-09,0.00038234270910630734,0.0003885020890495431,0.0003885020890495431,0.0003768732602414391,0.004386767910276257
2013-04-10,0.01298338265050309,0.01296507716731576,0.01296507716731576,0.01299339713441503,-0.003426566033970957
2013-04-11,-0.012562169721904225,-0.012945993725480057,-0.012945993725480057,-0.01275897309139682,-0.004640093008280388
2013-04-12,-0.005790858978308434,-0.006141359189952941,-0.006141359189952941,-0.00596163995360556,-0.009591767043640842
2013-04-15,-0.013444241603944638,-0.013092356656377797,-0.013092356656377797,-0.01326027944896873,-0.01151153390478199
2013-04-16,0.0044365697910037,0.0054809978670165216,0.0054809978670165216,0.004973710556612793,0.013623438293179468
2013-04-17,0.011537756576538825,0.010398533092904574,0.010398533092904574,0.010941689401345742,0.004738511699099446
2013-04-18,-0.004715683618688299,-0.0043666843173394655,-0.0043666843173394655,-0.0045351788431429564,-0.000714227234262732
2013-04-19,0.01915961437038905,0.018832913602143803,0.018832913602143803,0.01899217452967497,0.025109080591622535
2013-04-22,-0.010884013099821547,-0.01157910000439161,-0.01157910000439161,-0.01124191281052622,-0.005879399557829124
2013-04-23,-0.03127711029519565,-0.0320978240103433,-0.0320978240103433,-0.031698018173858485,-0.029200107948920695
2013-04-24,0.016906628765792037,0.016506908502863314,0.016506908502863314,0.016699168722632402,0.013478311907411333
2013-04-25,-0.010944601612211353,-0.011619452200045965,-0.011619452200045965,-0.01130188783475595,-0.015605885975958023
2013-04-26,-0.028706902957608294,-0.028025700930081963,-0.028025700930081963,-0.02836736218802306,-0.009255035026084935
2013-05-02,-0.022652086325355522,-0.021896637179678876,-0.021896637179678876,-0.022264292582867,0.003084847563490367
2013-05-03,0.018262058697303966,0.018586722951836505,0.018586722951836505,0.018434559491922416,0.014851407411943018
2013-05-06,0.030036760043172173,0.029396424514764527,0.029396424514764527,0.029711882830869854,0.01688595064547349
2013-05-07,0.016464653747121676,0.01573246824961675,0.01573246824961675,0.01608817807004626,0.002870499196172327
2013-05-08,2.715838446882054e-05,0.0002337086459275893,0.0002337086459275893,0.000139019860184326,0.0057559749926585635
2013-05-09,0.010972800471782675,0.010315911744637748,0.010315911744637748,0.010638474499574354,-0.002728180962879967
2013-05-10,0.001959152457052526,0.0022373733003189377,0.0022373733003189377,0.0021074496109293327,0.002329371648323919
2013-05-13,0.004482966180775493,0.004003158659823195,0.004003158659823195,0.0042398328701485554,-0.006270299840667515
2013-05-14,-0.014416446728704974,-0.015087643572449854,-0.015087643572449854,-0.014774404689096493,-0.02276356513444855
2013-05-15,0.01246957010672396,0.01262903215375807,0.01262903215375807,0.012561391704137463,0.0068983895603231815
