,open,close,eob
0,9204.1143,9096.0654,2013-01-04 00:00:00+08:00
1,9073.9678,9108.4648,2013-01-07 00:00:00+08:00
2,9102.0332,9110.4512,2013-01-08 00:00:00+08:00
3,9077.499,9154.874,2013-01-09 00:00:00+08:00
4,9151.8135,9170.0547,2013-01-10 00:00:00+08:00
5,9185.1719,9017.7334,2013-01-11 00:00:00+08:00
6,8981.7393,9316.2734,2013-01-14 00:00:00+08:00
7,9332.9033,9381.6934,2013-01-15 00:00:00+08:00
8,9359.3389,9355.4766,2013-01-16 00:00:00+08:00
9,9335.0449,9309.2305,2013-01-17 00:00:00+08:00
10,9358.3994,9432.2949,2013-01-18 00:00:00+08:00
11,9543.2422,9562.8457,2013-01-21 00:00:00+08:00
12,9591.8223,9536.3564,2013-01-22 00:00:00+08:00
13,9495.7324,9548.3105,2013-01-23 00:00:00+08:00
14,9540.6279,9444.082,2013-01-24 00:00:00+08:00
15,9432.6064,9357.1299,2013-01-25 00:00:00+08:00
16,9361.3115,9618.9189,2013-01-28 00:00:00+08:00
17,9636.3252,9704.6562,2013-01-29 00:00:00+08:00
18,9695.4062,9783.8408,2013-01-30 00:00:00+08:00
19,9788.2627,9667.6719,2013-01-31 00:00:00+08:00
20,9648.917,9820.2939,2013-02-01 00:00:00+08:00
21,9830.8945,9760.8311,2013-02-04 00:00:00+08:00
22,9717.5547,9945.9756,2013-02-05 00:00:00+08:00
23,9942.0381,9922.7178,2013-02-06 00:00:00+08:00
24,9896.2246,9904.7754,2013-02-07 00:00:00+08:00
25,9880.2598,9989.0928,2013-02-08 00:00:00+08:00
26,10036.3799,9795.9082,2013-02-18 00:00:00+08:00
27,9787.042,9550.9307,2013-02-19 00:00:00+08:00
28,9548.1748,9645.8711,2013-02-20 00:00:00+08:00
29,9553.7588,9396.1084,2013-02-21 00:00:00+08:00
30,9386.4658,9364.54,2013-02-22 00:00:00+08:00
31,9399.4541,9342.3701,2013-02-25 00:00:00+08:00
32,9291.8818,9208.0322,2013-02-26 00:00:00+08:00
33,9241.6602,9333.2373,2013-02-27 00:00:00+08:00
34,9393.332,9641.4355,2013-02-28 00:00:00+08:00
35,9630.8711,9650.1436,2013-03-01 00:00:00+08:00
36,9393.7305,9139.751,2013-03-04 00:00:00+08:00
37,9138.4961,9341.3525,2013-03-05 00:00:00+08:00
38,9396.75,9431.165,2013-03-06 00:00:00+08:00
39,9409.2051,9393.6924,2013-03-07 00:00:00+08:00
40,9396.8496,9285.833,2013-03-08 00:00:00+08:00
41,9256.9639,9277.1582,2013-03-11 00:00:00+08:00
42,9268.1719,9163.6426,2013-03-12 00:00:00+08:00
43,9150.9482,9073.2207,2013-03-13 00:00:00+08:00
44,9029.8389,9087.2529,2013-03-14 00:00:00+08:00
45,9087.3701,9099.2871,2013-03-15 00:00:00+08:00
46,9048.3613,8999.0176,2013-03-18 00:00:00+08:00
47,9013.293,9034.0381,2013-03-19 00:00:00+08:00
48,9035.6533,9317.9697,2013-03-20 00:00:00+08:00
49,9315.8594,9326.2939,2013-03-21 00:00:00+08:00
50,9319.2178,9343.4121,2013-03-22 00:00:00+08:00
51,9368.8887,9313.1279,2013-03-25 00:00:00+08:00
52,9290.0527,9226.6357,2013-03-26 00:00:00+08:00
53,9220.3496,9225.126,2013-03-27 00:00:00+08:00
54,9099.4785,8959.2617,2013-03-28 00:00:00+08:00
55,8976.0801,8889.7686,2013-03-29 00:00:00+08:00
56,8901.6436,8937.7549,2013-04-01 00:00:00+08:00
57,8974.0195,8960.457,2013-04-02 00:00:00+08:00
58,9007.6484,8964.4668,2013-04-03 00:00:00+08:00
59,8828.0693,8953.8359,2013-04-08 00:00:00+08:00
60,8965.6172,8993.1143,2013-04-09 00:00:00+08:00
61,8994.4414,8962.2988,2013-04-10 00:00:00+08:00
62,9017.6143,8920.7129,2013-04-11 00:00:00+08:00
63,8911.375,8835.1475,2013-04-12 00:00:00+08:00
64,8792.9092,8733.4414,2013-04-15 00:00:00+08:00
65,8656.2275,8852.4209,2013-04-16 00:00:00+08:00
66,8852.7832,8894.3682,2013-04-17 00:00:00+08:00
67,8837.2529,8888.0156,2013-04-18 00:00:00+08:00
68,8910.4287,9111.1855,2013-04-19 00:00:00+08:00
69,9095.7305,9057.6172,2013-04-22 00:00:00+08:00
70,9055.2266,8793.1338,2013-04-23 00:00:00+08:00
71,8786.416,8911.6504,2013-04-24 00:00:00+08:00
72,8870.6934,8772.5762,2013-04-25 00:00:00+08:00
73,8809.1914,8691.3857,2013-04-26 00:00:00+08:00
74,8643.8975,8718.1973,2013-05-02 00:00:00+08:00
75,8736.4844,8847.6748,2013-05-03 00:00:00+08:00
76,8887.2227,8997.0762,2013-05-06 00:00:00+08:00
77,8974.1738,9022.9023,2013-05-07 00:00:00+08:00
78,9081.1318,9074.8379,2013-05-08 00:00:00+08:00
79,9071.1104,9050.0801,2013-05-09 00:00:00+08:00
80,9014.5664,9071.1611,2013-05-10 00:00:00+08:00
81,9080.1006,9014.2822,2013-05-13 00:00:00+08:00
82,9003.4697,8809.085,2013-05-14 00:00:00+08:00
83,8823.8438,8869.8535,2013-05-15 00:00:00+08:00
84,8838.9512,9061.3281,2013-05-16 00:00:00+08:00
85,9060.5293,9246.2764,2013-05-17 00:00:00+08:00
86,9274.1299,9307.1514,2013-05-20 00:00:00+08:00
87,9314.7627,9403.5352,2013-05-21 00:00:00+08:00
88,9400.79,9405.0605,2013-05-22 00:00:00+08:00
89,9362.7305,9265.6758,2013-05-23 00:00:00+08:00
90,9288.0488,9304.8604,2013-05-24 00:00:00+08:00
91,9278.2178,9260.6318,2013-05-27 00:00:00+08:00
92,9263.8271,9441.6885,2013-05-28 00:00:00+08:00
93,9456.2119,9404.4014,2013-05-29 00:00:00+08:00
94,9388.8164,9379.1934,2013-05-30 00:00:00+08:00
95,9397.3086,9257.9492,2013-05-31 00:00:00+08:00
96,9259.4824,9251.2422,2013-06-03 00:00:00+08:00
97,9254.6289,9124.2686,2013-06-04 00:00:00+08:00
98,9133.167,9143.4424,2013-06-05 00:00:00+08:00
99,9105.4258,9001.0889,2013-06-06 00:00:00+08:00
100,8992.2646,8763.6074,2013-06-07 00:00:00+08:00
101,8642.3223,8432.4248,2013-06-13 00:00:00+08:00
102,8459.0508,8479.458,2013-06-14 00:00:00+08:00
103,8500.0352,8404.5,2013-06-17 00:00:00+08:00
104,8433.5098,8470.8652,2013-06-18 00:00:00+08:00
105,8428.6494,8421.2422,2013-06-19 00:00:00+08:00
106,8369.0439,8147.4829,2013-06-20 00:00:00+08:00
107,8012.916,8136.0459,2013-06-21 00:00:00+08:00
108,8115.8408,7588.522,2013-06-24 00:00:00+08:00
109,7486.8271,7495.0962,2013-06-25 00:00:00+08:00
110,7544.8931,7566.396,2013-06-26 00:00:00+08:00
111,7598.9312,7544.3291,2013-06-27 00:00:00+08:00
112,7508.353,7694.4658,2013-06-28 00:00:00+08:00
113,7649.2959,7718.4771,2013-07-01 00:00:00+08:00
114,7720.771,7768.8359,2013-07-02 00:00:00+08:00
115,7748.5918,7703.7358,2013-07-03 00:00:00+08:00
116,7641.4492,7804.1138,2013-07-04 00:00:00+08:00
117,7852.626,7856.5908,2013-07-05 00:00:00+08:00
118,7741.4072,7637.627,2013-07-08 00:00:00+08:00
119,7624.1309,7600.4722,2013-07-09 00:00:00+08:00
120,7609.3979,7851.249,2013-07-10 00:00:00+08:00
121,7858.0718,8184.7671,2013-07-11 00:00:00+08:00
122,8171.0078,8012.8408,2013-07-12 00:00:00+08:00
123,8072.751,8137.77,2013-07-15 00:00:00+08:00
124,8109.8452,8186.6841,2013-07-16 00:00:00+08:00
125,8161.6479,8063.8018,2013-07-17 00:00:00+08:00
126,8026.6089,7904.2681,2013-07-18 00:00:00+08:00
127,7914.269,7663.9858,2013-07-19 00:00:00+08:00
128,7608.6831,7684.2261,2013-07-22 00:00:00+08:00
129,7737.0269,7963.7031,2013-07-23 00:00:00+08:00
130,7945.2852,7935.8481,2013-07-24 00:00:00+08:00
131,7948.9502,7894.603,2013-07-25 00:00:00+08:00
132,7845.2178,7843.3618,2013-07-26 00:00:00+08:00
133,7772.1602,7668.5352,2013-07-29 00:00:00+08:00
134,7690.4458,7730.1709,2013-07-30 00:00:00+08:00
135,7849.5459,7765.396,2013-07-31 00:00:00+08:00
136,7819.4458,7931.7861,2013-08-01 00:00:00+08:00
137,8023.7261,7961.4692,2013-08-02 00:00:00+08:00
138,7955.3779,8060.3872,2013-08-05 00:00:00+08:00
139,8033.6709,8143.021,2013-08-06 00:00:00+08:00
